// Compost colors for aoa3. You may add your own colors, change existing ones, or remove colors that aren't needed.
abominator, #ffffff
blue_havendales, #94fcff
blue_havendales_stem, #9bffff
blue_lollypop, #7597f7
blue_mega_rune_fragment, #ffffff
blue_ocealites, #daffff
bolt_rifle, #ffffff
bomb_launcher, #55473d
bone_blaster, #ffffff
bone_horn, #fffcf2
book_of_shadows, #69445e
boom_boom, #446c37
boom_cannon, #ffffff
boots_frame, #ffffff
boreic_boots, #f2f2ff
boreic_bow, #d2c0e4
boreic_chestplate, #eec3ff
boreic_helmet, #fff4ff
boreic_leggings, #d6c6f4
boulder, #765050
boulder_bomber, #979797
boulder_dash, #868686
bozo_blaster, #5a543c
bright_shyre_sapling, #fcffff
brown_blaster, #ffffff
bubble_berries, #5fa8bc
bubble_berry_seeds, #ffffff
bubble_horn, #ffffdc
bulb_cannon, #3c2525
bulb_stock, #9a6b57
bulb_stock_cap, #ac7366
bureal_stocks, #8ecfcf
calab_grass, #fafff4
calab_long_grass, #fffffc
call_of_the_drake, #7fb5e0
camo_rifle, #ffffff
candlefire_sword, #f5831c
candlefish, #ffffaa
candy_blade, #ffeae8
candy_boots, #ffffff
candy_cane, #ffffff
candy_chestplate, #e4f5ff
candy_corn, #ffffe1
candy_helmet, #ffffff
candy_leggings, #ffffff
candy_staff, #ffffff
candy_tube, #ffeded
candycane, #ffbcac
candyland_realmstone, #a48dc6
cannon_frame, #ffffff
cannonball, #9a9089
caramel_carver, #b66e1f
carrot_cannon, #645f2d
celebulbs_stem, #c2c2c2
celestial_staff, #ca945c
celeve_realmstone, #869054
chain_wrecker, #ffffff
chainsaw, #ffffff
chakram, #329e30
change_focus, #fa5b9d
charged_rune, #574b55
charged_runium_chunk, #4e4450
charred_char, #916118
chestbone_fragment, #947c6f
chestplate_frame, #c2c2c2
chilli, #ffffff
chilli_chugger, #fff8f7
chilli_seeds, #ffcf8e
chitin, #f4ccb9
chocaw, #551f00
chroma_goggles, #ffffff
chum, #ffa898
chum_and_salad_burger, #b98033
chum_burger, #bf6932
churry_sapling, #ffffff
circus_coin, #d9b5b5
clown_cannon, #ffffff
clown_cracker, #ffffff
clown_upgrade_kit, #aa9390
clownershot, #ffe3e4
clownimator, #ffe8ea
clowno_pulse, #aa797f
colour_cannon, #ffffff
commander_boots, #b4b9c2
commander_chestplate, #939aaf
commander_helmet, #d9dce7
commander_leggings, #a0a2b1
compass_rune, #522c2f
compass_rune_banner_pattern, #ffffff
concussion_staff, #696637
confetti_cannon, #ffffff
confetti_cluster, #ffffff
confetti_pile, #ffffff
construct, #ffffff
control_focus, #faa540
cooked_charger_shank, #ffffe3
cooked_fish, #c96f28
cooked_giant_lizard_meat, #a47048
cooked_halycon_beef, #d6eeaa
cooked_rainbowfish, #c0703c
copper_coin, #f2ae91
coral_cage, #9a5f8a
coral_cannon, #6c2358
coral_clogger, #ffffff
coral_crossbow, #895eaa
coral_greatblade, #8a8dd3
coral_staff, #ffffff
coral_stone, #bbebfe
coralstone_maul, #ffffff
coralstorm_sword, #5270bb
core_rifle, #ffffff
cosmic_dust, #ffc9ff
cotton_crusher, #c3ffff
creep_bush, #298300
creep_flowers, #b5c6b6
creep_sapling, #cffbc6
creep_vines, #b2b9b1
creepified_sword, #255420
creepoid_greatblade, #40c547
creeponia_realmstone, #365732
crimson_skipper, #ffffff
crimson_stripefish, #ffffff
crossbow_frame, #727272
crystal_box, #d9b875
crystal_carver, #ffffff
crystal_greatblade, #ffffff
crystal_maul, #ffffff
crystal_staff, #733684
crystallis_boots, #c5dee8
crystallis_chestplate, #8db5c5
crystallis_helmet, #d7edf4
crystallis_leggings, #a4c0d0
crystallite, #ffc06b
crystallite_sword, #ffcd90
crystaneer, #ffffff
crystevia_realmstone, #48918d
crystik_staff, #919a79
cryston_staff, #bf9d3a
cup, #dadada
cyclone, #ffffff
daileers, #ffffe6
damage_focus, #fa5f3e
dark_beast, #aaaaaa
dark_bones, #969696
dark_destroyer, #ffffff
dark_hatchetfish, #69a57d
darkener, #fafaf8
darkly_guster, #ffffff
darkly_powder, #d2d2d2
darkly_upgrade_kit, #4d4b4b
dart_gun, #ffffff
dawn_bush, #413036
dawn_flower, #3a2a30
dawn_grass, #221f23
dawnwood_bars, #ffffff
dawnwood_sapling, #ffffff
daybreaker_bow, #a4a7aa
dead_branch, #50413a
dead_grass, #ffffff
dead_mans_finger, #756162
deadlock, #ffffff
death_ray, #ffffff
decimator, #ffffff
deep_blooms, #f0f0f0
deep_bow, #ede1c0
deep_grass, #e8e8e8
deeplands_realmstone, #68694a
demolisher, #4a3c2c
dense_rock, #aaaaaa
destruction_rifle, #fff7f7
destruction_shotgun, #6c2614
destruction_staff, #705b4a
discharge_cannon, #fffefc
discharge_capsule, #ffffff
discharge_rifle, #ffffff
discharge_shotgun, #ffffff
discharge_sniper, #ffffff
distorting_artifact, #ddd7d7
distortion_rune, #2f264a
distortion_rune_banner_pattern, #ffffff
doom_bringer, #ffffff
draco, #727970
dragilator, #ffffff
dryads_blessing, #36580c
dryclaws, #765f58
dual_sight, #f0ffff
durability_focus, #e4a58a
duster, #ffffff
dustometer, #fafafa
dustopia_realmstone, #191919
echo_gull, #ffffff
elecanium_ingot, #57cab8
elecanium_nugget, #66c6be
elecanyte_boots, #ffffff
elecanyte_chestplate, #f8ffff
elecanyte_helmet, #ffffff
elecanyte_leggings, #f8ffff
electinator, #ffffff
electron_maul, #ffffff
elemental_focus, #dc5ba1
ember_staff, #723d0c
emberstone_axe, #be6444
emberstone_hoe, #af5843
emberstone_ingot, #be795f
emberstone_nugget, #a76554
emberstone_pickaxe, #bf6143
emberstone_shovel, #cd613a
emberstone_sword, #be5f40
embrodium_boots, #ffffda
embrodium_chestplate, #fff1ab
embrodium_helmet, #ffffeb
embrodium_leggings, #fff0b6
enchanted_gunpowder, #d9d6dd
energistic_axe, #fffff2
energistic_pickaxe, #fffff8
energistic_shovel, #ffffe8
energy_cannon, #43768e
energy_rune, #473a33
energy_rune_banner_pattern, #ffffff
equality_vulcane, #ffffff
equality_vulcane_augment, #c57d8d
eradicator, #fcfffa
erebon_scythe, #9e7272
erebon_stickler, #6e2a2c
everfight_staff, #866423
evermight_staff, #735528
exoplate_boots, #e4e4e4
exoplate_chestplate, #a4a4a4
exoplate_helmet, #eaeaea
exoplate_leggings, #bbbbbb
exp_flask, #e7e1bf
experiment_w_801, #ffffff
explochron_sword, #6b431b
explosive_boots, #ffdad9
explosive_bow, #9b703a
explosive_chestplate, #ffa89d
explosive_gems, #acc0b4
explosive_helmet, #ffeee7
explosive_idol, #e6b59a
explosive_leggings, #ffc9be
eye_bulb, #ffffff
eye_candy, #ffffff
eye_hanger_sapling, #fedcd6
eye_shrub, #964d3d
eye_shrub_stem, #5a1428
eyebush_sapling, #ffe1dc
face_mask, #fffefa
faunamancers_blade, #6e4037
fiery_chops, #ff917a
fire_rune, #4a2632
fire_rune_banner_pattern, #ffffff
fire_staff, #6f441f
fire_vulcane, #ffffff
fire_vulcane_augment, #c57f73
fireborne_sword, #90481b
firefly_staff, #be6416
firestorm_staff, #c06c1c
fishing_cage, #93753c
flame_wrecker, #fffcf5
flaming_fury, #f5e6ff
flammable_dust, #fffff8
fleshy_bones, #d4c9c3
floating_stone, #ffffff
floracle_seeds, #ffccff
floracle_sticks, #ffc2dd
floro500, #fffeff
floro_rifle, #f5faf8
floro_rpg, #4e3e3c
floro_upgrade_kit, #908c76
flower_cannon, #6eb507
flowercorne, #ffffff
flowers_fury, #fcfef2
footbone_fragment, #a08779
fragment, #fffcf8
froster, #408e98
frosticator, #ffffff
fungal_boots, #ffeddd
fungal_cannon, #73867d
fungal_chestplate, #ffd2b5
fungal_helmet, #f1e3d9
fungal_leggings, #e1c2ab
fungal_staff, #dde3f2
fungal_tea, #849bcc
fungal_upgrade_kit, #5c8eae
garden_grass, #9abb6c
gardencia_realmstone, #514058
gardener, #ffffff
gas_blaster, #ffffff
gauge_rifle, #ffffff
gem_bag, #c0b4a1
gemcracker, #e8f4ea
gemenyte, #ffffff
germinator, #ffffff
ghast_blaster, #3c2544
ghastly_boots, #fffff4
ghastly_chestplate, #dcffb4
ghastly_helmet, #ffffff
ghastly_ingot, #ace37d
ghastly_leggings, #e3ffd2
ghastly_nugget, #b1e387
ghostly_powder, #ffffff
ghoul_cannon, #3e334b
ghoul_gasser, #ffffff
ghoul_staff, #3d2d41
ghoulasm, #f4faff
ghoulish_boots, #f0ebff
ghoulish_chestplate, #dac9ff
ghoulish_helmet, #e0d6e8
ghoulish_ingot, #a5aeff
ghoulish_leggings, #e4c8ff
ghoulish_nugget, #acb1ff
giant_crystal, #c09482
giant_skill_crystal, #fffcb1
giga_cannon, #e7f8ea
gimmick, #5a5e0b
ginger_blaster, #a17d55
gingerbread_cookie, #fffeee
gingerbread_wing, #fffff1
glaring_energy_stone, #fcb1a2
glaring_power_stone, #fffffb
gleaming_energy_stone, #a1faff
gleaming_power_stone, #fbffff
glistening_energy_stone, #a2fcae
glistening_power_stone, #feffff
glowing_energy_stone, #eed0b1
glowing_power_stone, #ffffff
gods_greatblade, #ffffe0
gold_bringer, #ffffff
gold_coin, #fbcf87
gold_spring, #ffffc0
golden_fury, #ffffe8
golden_rod, #c89136
golden_upgrade_kit, #b19e58
golder_bomber, #977623
goldicap_petals, #ffffff
goldicap_seeds, #ffffca
goo_ball, #eeaf5e
goofy_axe, #ffeaed
goofy_greatblade, #ffffda
goofy_pickaxe, #fccacf
goofy_shovel, #fffeff
gravitator, #d7ffff
gravity_blaster, #ffffff
greckon_realmstone, #43264a
green_celebulbs, #f0fce8
green_celevus_sapling, #ffffff
green_crystal, #b6ffd4
green_crystal_plant, #d7ff93
green_druse, #cdf29a
green_gemstones, #9effbe
green_gemtrap, #43b61b
green_glowshroom, #a2e789
green_manure_seeds, #517d20
green_mega_rune_fragment, #f1ffff
green_peppermint, #d6ffcd
green_waterweeds, #abffa0
grenade, #766c6e
guardians_eye, #ede0cc
guardians_sword, #696b5c
gun_frame, #ffffff
halycon_milk, #fffffe
happy_haunter, #ffffff
hardened_confetti_ball, #fff5f5
hardened_parapiranha, #181514
harvester_sword, #303030
hauling_rod, #897a75
haunted_bow, #f5d0ff
haunted_flower, #b68dca
haunted_greatblade, #8451c8
haunted_idol, #b5aae8
haunted_sapling, #b486c3
haunted_upgrade_kit, #7d6b87
haunter_rifle, #ffffff
haunters_staff, #765e90
haven_grass_plant, #b4ffff
haven_realmstone, #8c4490
hazmat_boots, #dcded7
hazmat_chestplate, #b6beae
hazmat_helmet, #d6d9d6
hazmat_leggings, #e7ebe1
head_hunter, #ffffff
heart_fruit, #ff7f89
heart_fruit_seeds, #ffd7e6
heat_wave, #fffffb
heavy_boulder, #919191
hell_horn, #ffe3d3
hellfire, #7a4a0e
helm_of_the_dextrous, #c9cc7f
helm_of_the_dryad, #a2820b
helm_of_the_ritualist, #480f65
helm_of_the_trawler, #4b7f7d
helm_of_the_treasurer, #f27a1e
helm_of_the_warrior, #f88c05
helmet_frame, #ffffff
hive_blaster, #e7c6af
hive_chunk, #de96a1
hive_cracker, #ffffeb
hive_egg, #c6868d
hive_howitzer, #5b2c28
hive_staff, #5b3d34
hiver, #ffffff
holy_sword, #c3860f
horizon_daisies, #c8d9c6
horizon_maul, #ffffff
hot_rod, #fffbfc
hot_shot, #ffffff
hunters_rifle, #ffffff
hydrangic_boots, #faffcd
hydrangic_chestplate, #f0ff9a
hydrangic_helmet, #e7fcc8
hydrangic_leggings, #e7ffaa
hydrone, #525033
hydroplate_boots, #d0c8cd
hydroplate_chestplate, #b1aebb
hydroplate_helmet, #d7e3ee
hydroplate_leggings, #a8b2c3
ice_boots, #84aed0
ice_bow, #80e1ff
ice_chestplate, #86afd4
ice_crystal, #ffffff
ice_helmet, #86b5da
ice_leggings, #98cff8
illusion_revolver, #ffffff
illusion_smg, #ffffff
illusion_sword, #6e8db8
impairment_vulcane, #f4eeff
impairment_vulcane_augment, #ab7d93
incomplete_mecha_bow, #fcfbfa
incomplete_mecha_cannon, #694e20
incomplete_mecha_crossbow, #5e4a43
incomplete_mecha_staff, #72552c
incomplete_mechanical_assault_rifle, #ffffff
incomplete_mechyro, #ffffff
infernal_boots, #fff8da
infernal_bow, #b86b19
infernal_chestplate, #ffd3a0
infernal_helmet, #ffffe8
infernal_leggings, #ffd7a7
iominator, #ffffff
ion_blaster, #ffffff
ion_revolver, #ffffff
iro_cannon, #c0981b
iro_grass, #ffffe6
iro_miner, #fffff0
iro_rifle, #fffcf0
irodust_sapling, #dcd9d3
irogold_sapling, #ffffea
iromine_realmstone, #765740
ironback, #ffffff
irotops, #fcd98e
ivory, #fffffe
jack_funger, #e0dce4
jack_rocker, #f4f0ee
jade, #65ae65
jade_axe, #708647
jade_hoe, #6b703c
jade_pickaxe, #657540
jade_shovel, #708347
jade_sword, #528255
jamfish, #ffffff
jewelyte, #ffffff
joker_staff, #ac8c8e
jungle_thorns, #b9bfa0
justice_bow, #ffffe0
ka_500, #ffffff
kinetic_rune, #4b2850
kinetic_rune_banner_pattern, #ffffff
knight_boots, #fbfff7
knight_chestplate, #ffffe0
knight_helmet, #ffffff
knight_leggings, #edebd3
knights_guard, #bcffff
krilinator, #ffffff
large_skill_crystal, #ffffcc
laser_blaster, #ffffff
lborean_realmstone, #407666
legbone_fragment, #aa9182
legbone_sword, #fffff2
leggings_frame, #f1f1f1
lelyetia_realmstone, #764e40
lelyetian_greatblade, #ffebbb
lelyetian_stem, #ff8e4b
lelyetian_stem_cap, #ffbb90
lelyetian_stem_cap_down, #ffbb90
lelyetian_upgrade_kit, #b28a58
lelyetian_weeds, #ffbc8c
lelyetian_weeds_down, #ffbc8c
lelyetian_wiggler, #cc7657
lelyetian_wiggler_bottom, #d67854
lelyetian_wiggler_top, #d67854
life_focus, #c8bb40
life_rune, #394732
life_rune_banner_pattern, #ffffff
light_blaster, #fffffb
light_iron, #ffffff
light_rod, #76a88d
light_spark, #fefffe
light_upgrade_kit, #b2deb5
lightning_staff, #b2b129
lights_way, #ffffcc
lightshine, #e0e8d2
limonite_axe, #bf7a4a
limonite_bullet, #ffae6c
limonite_hoe, #9e5e33
limonite_ingot, #ff9064
limonite_nugget, #f58a65
limonite_pickaxe, #a85e3a
limonite_rod, #f57658
limonite_shovel, #bf7c47
limonite_sword, #d26e55
long_shot, #ffffff
lotto_totem, #fff7d2
lucalus_boat, #dccfc8
lucalus_chest_boat, #bba486
lucalus_door, #eadcd2
lucalus_hanging_sign, #d4cac2
lucalus_sapling, #8dae6f
lucalus_sign, #e8d9d0
luck_focus, #9abb57
luna_blaster, #ffedff
luna_globe, #ffffff
luna_globe_seeds, #d4ffff
lunacrike, #c539da
lunacrike_seeds, #d3ffff
lunalip, #ffffff
lunalon_seeds, #fcffff
lunalons, #ffd0ff
lunalus_realmstone, #9055a0
lunar_assault_rifle, #ffffff
lunar_boots, #fffcff
lunar_bow, #f0b2ff
lunar_chestplate, #fff4fe
lunar_crossbow, #d9acd3
lunar_greatblade, #e793e4
lunar_helmet, #ffffff
lunar_ingot, #da65dc
lunar_leggings, #fff2ff
lunar_nugget, #b684be
lunar_rune, #512a44
lunar_rune_banner_pattern, #ffffff
lunar_staff, #704743
lunar_upgrade_kit, #d99ecc
lunarade, #ffeeff
lunarade_mug, #ffffff
lunaver_coin, #f46fff
lunicia_sapling, #ffffff
lunosso_sapling, #ffffff
luntar, #ff96e8
lurchians, #fffff1
luxon_scythe, #a1d9d9
luxon_stickler, #347a7f
lylips, #eeffff
lyndamyte_boots, #fff1cf
lyndamyte_chestplate, #ffe8c5
lyndamyte_helmet, #ffffee
lyndamyte_leggings, #fff8d0
lyon_ingot, #c9aa75
lyon_nugget, #eeb662
lyonic_boots, #e0d9ca
lyonic_chestplate, #c9b696
lyonic_greatblade, #ddd3a1
lyonic_helmet, #f2e6cd
lyonic_leggings, #d2bba1
lyonic_staff, #ffffff
magias, #97c2ff
magic_focus, #b85ba1
magic_marang, #d67caf
magic_mending_compound, #ffe0e0
magic_mending_solution, #cda59e
magic_repair_dust, #ffffff
magnet_shard, #fffff4
mark_maker, #ffffff
mecha_blaster, #fffef0
mecha_bow, #f5e8dc
mecha_cannon, #6e5020
mecha_crossbow, #6b5143
mecha_gear, #cdb6aa
mecha_staff, #966825
mechanical_assault_rifle, #ffffff
mechyro, #ffffff
medium_skill_crystal, #fffff0
mega_rune_stone, #cfe7d6
megagun, #fff7f8
mercurial_boots, #cfeed9
mercurial_chestplate, #a0c0a2
mercurial_helmet, #e3f5e8
mercurial_leggings, #a8d0b5
metal_slug, #a5b56c
metal_tub, #acacac
meteor_staff, #332015
miasma, #ffffff
millennium_greatblade, #c5beb9
millennium_upgrader, #72eb8d
mind_blaster, #ffffff
mineral, #f4eaea
mini_cannon, #ffffff
minigun, #ffffff
mint_magnum, #ffffff
missile_maker, #91763c
mk, #ffffff
mk_fung, #f4ffff
molten_upgrader, #eb7579
monster, #fff8e3
moon_cannon, #964b8a
moon_destroyer, #ffffff
moon_maker, #ffffff
moon_shiner, #ffffff
moonlight_staff, #235791
moonstone, #ffffff
mushroom_spores, #fffff0
music_disc_caverns, #e7e7e3
music_disc_outlaw, #f5e7c0
mysterium_realmstone, #4d3078
mystic_bush, #3e7aff
mystic_ferns, #254794
mystic_shrooms, #c0e3c2
mystite_ingot, #97ebc8
mystite_nugget, #8de0c0
natural_tea, #d6dcd0
nature_melon_slice, #e3ffe8
nature_staff, #ffffff
necro_boots, #ebe8fa
necro_chestplate, #c2b8dc
necro_helmet, #f1eefb
necro_leggings, #cfc6e0
nethenette_rifle, #ffffff
nethengeic_boots, #fbe4d3
nethengeic_callstone, #bc908e
nethengeic_chestplate, #be9391
nethengeic_helmet, #e3c5b6
nethengeic_leggings, #e1c9c9
nethengeic_slugger, #ffffff
nethengeic_sword, #fec8ca
nether_realmstone, #823a22
nether_upgrade_kit, #bc765b
nightmare_boots, #d6c6ff
nightmare_bow, #ffffff
nightmare_chestplate, #90a4ff
nightmare_flakes, #ffe1ff
nightmare_helmet, #d4c9ff
nightmare_leggings, #cfbeff
nightmare_staff, #ffffff
nowhere_realmstone, #a07a4a
noxious_greatblade, #d9e3c0
noxious_staff, #465b37
observing_eye, #f2b8fa
occult_axe, #eaffff
occult_pickaxe, #d4fcff
occult_shovel, #f5ffff
oceanus_helmet, #ab8dc0
odious, #ffffff
old_boot, #9d7f48
omni_boots, #b9d3d6
omni_chestplate, #8db6c3
omni_helmet, #edfeff
omni_leggings, #aacad4
orange_glowshroom, #e08468
orange_spores, #fffffc
orbocron, #ffffff
orbulon, #d2a5cd
ornamyte, #ffffff
ornamyte_axe, #979797
ornamyte_pickaxe, #d2d2d2
ornamyte_shovel, #d4d4d4
overshot, #ffffff
padded_cloth, #ffffff
paralyzer, #ffffff
parapiranha, #6b4734
party_popper, #ffffff
pearl_stripefish, #ffffff
peppermint_candy, #ffffff
petals, #eacde1
phantasm, #f7c6ff
phantasm_boots, #f0e0ff
phantasm_chestplate, #d4c5fc
phantasm_helmet, #655482
phantasm_leggings, #dec8fe
phantom_staff, #1f3c50
pickmax, #f4ffff
pink_candy_grass, #ffa8d7
pink_daylooms, #ff7fff
pink_haven_sapling, #ffddff
pink_havendales, #ff94f4
pink_havendales_stem, #ff9bf7
plastic_stick, #fcffff
pluton_scythe, #b9b696
pluton_stickler, #725c1f
poison_boots, #ffffd2
poison_bow, #4b551b
poison_chestplate, #f2ff8d
poison_helmet, #ffffe8
poison_leggings, #ffffac
poison_plunger, #ffffff
poison_rune, #2d3336
poison_rune_banner_pattern, #ffffff
poison_staff, #465215
poison_vulcane, #ffffff
poison_vulcane_augment, #a1a180
pop_shot, #ffffff
power_core, #ddc9bc
power_focus, #fa783e
power_ray, #ffffff
power_rune, #5a4332
power_rune_banner_pattern, #ffffff
power_staff, #84765b
power_vulcane, #ffffff
power_vulcane_augment, #c0a16f
precasia_realmstone, #578d47
precasian_slugger, #ffffff
precasian_upgrade_kit, #468748
precision_focus, #9a91a1
predatious_boots, #d7d3c9
predatious_bow, #a09b6f
predatious_chestplate, #c5bb9e
predatious_helmet, #fbf8f4
predatious_leggings, #c8bfb1
predator, #fffffe
predator_upgrade_kit, #d4b896
predatorian_blaster, #545446
predigun, #ffffff
primal_sword, #bebfb4
primed_ghoulasm, #c07fff
primordial_boots, #e1e1e1
primordial_bow, #d3cccc
primordial_chestplate, #c6c6c6
primordial_greatblade, #b8b8b8
primordial_helmet, #e4e3e3
primordial_leggings, #c2c2c2
primordial_skull, #5a5757
primordial_staff, #252220
proton, #fffff7
pulsator, #fff7ff
pulse_cannon, #722a55
purity_boots, #ffffff
purity_chestplate, #f2f5ff
purity_helmet, #ffffff
purity_leggings, #e7edff
purity_rifle, #ffffff
purity_shotgun, #205a87
purple_celevians, #e1aeff
purple_celevus_sapling, #ffffff
purple_crystal, #f1b6ff
purple_crystal_plant, #ff8dff
purple_druse, #cd90fc
purple_gemstones, #e89eff
purple_gemtrap, #8619b8
purple_glowshroom, #f89af4
purple_haven_sapling, #f8c9ff
purple_punisher, #ffffff
pyro_crossbow, #d77539
radiant_energy_stone, #ffffff
radiant_power_stone, #ffffff
rainbow_druse, #d7d6c5
rainbow_grass, #617fc3
raw_charger_shank, #ffffff
raw_emberstone, #c57957
raw_giant_lizard_meat, #ff9d91
raw_halycon_beef, #f5ffae
raw_limonite, #da6f5e
raw_rainbowfish, #e3b8a2
razorfish, #ded4c9
red_celevians, #ffaeae
red_celevus_sapling, #ffffff
red_crystal, #ffbeb6
red_crystal_plant, #ff9a8a
red_druse, #fca8af
red_gemstones, #ff9eb1
red_gemtrap, #b62519
red_haven_sapling, #ffffee
red_lollypop, #fc737f
red_mega_rune_fragment, #ffffff
red_peppermint, #ffc5bf
red_rocket, #ffffff
red_waterweeds, #ff7c93
reef_staff, #d09370
reefer, #d2cfff
reeftooth, #72758a
reinforced_cloth, #f2ede4
rejuvenation_staff, #ffc840
resource_focus, #9a66a1
return_crystal, #ffffff
revolution, #fffffe
rock_bones, #e6e6e6
rock_pick_sword, #edd4bb
rockbasher_sword, #a46b5b
rockbone_boots, #e7e3ca
rockbone_chestplate, #d2c9aa
rockbone_helmet, #f1ede0
rockbone_leggings, #d2c5a1
rocker_rifle, #ffffff
rocketfish, #ffeae6
rocky_upgrade_kit, #8e7d7d
rosid_rifle, #ffffff
rosid_root, #fff7fb
rosidian_boots, #fffff2
rosidian_bow, #d0e1c0
rosidian_chestplate, #ffdee0
rosidian_crossbow, #436c5a
rosidian_greatblade, #308022
rosidian_helmet, #f7edd9
rosidian_leggings, #fff4e7
rosidian_staff, #6e2a64
rosidian_sword, #685740
rosidon_seeds, #e3ffff
rosidons, #f7cae7
roulette, #ffffff
royal_greatblade, #ff9a76
rpg, #5f542f
runandor_realmstone, #1f7da0
rune_box, #2f4141
rune_bulbs, #70d4ff
runic_bomb, #ffffff
runic_boots, #dce4ee
runic_bow, #2c3e51
runic_bush, #b4e6ff
runic_chestplate, #ccdcea
runic_energy, #50cdee
runic_greatblade, #f7ffff
runic_helmet, #edffff
runic_leggings, #dce4eb
runic_sapling, #e7ffff
runic_staff, #124168
runic_sword, #daf4fa
runium_chunk, #2a202d
sabbath, #f2f5fa
sailback, #ffffff
sand_catcher, #4e4a47
sapphire_strider, #acd2ff
scrap_metal, #aeaeae
scream_shield, #e3b2ff
screamer_bow, #f7f7f7
sealord_helmet, #d7d3e3
seaocron, #f8ffff
seaside_upgrade_kit, #65a0a8
selyan_scythe, #a8c39b
selyan_stickler, #397533
shadow_blaster, #4a2a5e
shadow_sapling, #e4e1e0
shadow_sword, #e7e3e3
shadowlord_staff, #50435b
sharp_claw, #ffffff
sharpshot_boots, #d7c2c2
sharpshot_chestplate, #bf8989
sharpshot_helmet, #ffe8e8
sharpshot_leggings, #d79b9b
shining_energy_stone, #ffacde
shining_power_stone, #ffffff
shiny_box, #ffab16
shoe_flinger, #ffffff
shotgun_frame, #ffffff
show_staff, #aa5825
shroom_stone, #c2c8dc
shroomic_greatblade, #f8fffe
shroomus_sword, #ffffff
shyre_blaster, #e6d26b
shyre_cap, #ffc970
shyre_cap_down, #ffcd6c
shyre_sapling, #ffffff
shyre_staff, #767f64
shyre_stock, #ffc973
shyre_sword, #beffff
shyre_weed, #93bfdc
shyregem, #8effff
shyregem_bow, #f5e3a4
