// Compost colors for ftbmaterials. You may add your own colors, change existing ones, or remove colors that aren't needed.
aluminum_blade, #ffffff
iron_shard, #ffffff
iron_wire, #ffffff
lapis_lazuli_chunk, #ffffff
lapis_lazuli_cluster, #fcffff
lapis_lazuli_wire, #b5d0ff
lead_chunk, #ffffff
lead_clump, #ffffff
lead_cluster, #ffffff
lead_crystal, #ffffff
lead_dirty_dust, #ffffff
lead_dust, #ffffff
lead_gear, #fcf8ff
lead_ingot, #e8e3f2
lead_nugget, #ffffff
lead_plate, #ffffff
lead_raw_ore, #d9d3e0
lead_rod, #f5f2fa
lead_shard, #dedce3
lead_wire, #ffffff
lumium_clump, #ffffff
lumium_crystal, #ffffff
lumium_dirty_dust, #ffffff
lumium_dust, #ffffff
lumium_gear, #ffffe4
lumium_ingot, #ffffd9
lumium_nugget, #ffffff
lumium_plate, #fffff7
lumium_rod, #fffff1
lumium_shard, #fffff2
lumium_wire, #ffffff
monazite_dust, #ffd4ff
monazite_wire, #ea80e3
netherite_dust, #ffffff
netherite_gear, #a5c9c6
netherite_nugget, #ffffff
netherite_plate, #c0dcd9
netherite_rod, #ffffff
netherite_wire, #ffffff
nickel_chunk, #ffffff
nickel_clump, #fffff2
nickel_cluster, #ffffff
nickel_crystal, #fffff5
nickel_dirty_dust, #ffffff
nickel_dust, #ffffff
nickel_gear, #e7e8ca
nickel_ingot, #dcdec3
nickel_nugget, #ffffff
nickel_plate, #fffffb
nickel_raw_ore, #c3c5a8
nickel_rod, #d4d7a8
nickel_shard, #d4d4c5
nickel_wire, #fcfee6
obsidian_dust, #c2becd
obsidian_gear, #756983
obsidian_plate, #968ca1
obsidian_rod, #1c1229
obsidian_wire, #846ea4
osmium_chunk, #ffffff
osmium_clump, #ffffff
osmium_cluster, #ffffff
osmium_crystal, #ffffff
osmium_dirty_dust, #ffffff
osmium_dust, #ffffff
osmium_gear, #ffffff
osmium_ingot, #e0fcf7
osmium_nugget, #ffffff
osmium_plate, #ffffff
osmium_raw_ore, #d7f5ee
osmium_rod, #ffffff
osmium_shard, #ffffff
osmium_wire, #ffffff
platinum_chunk, #ffffff
platinum_clump, #ffffff
platinum_cluster, #ffffff
platinum_crystal, #ffffff
platinum_dirty_dust, #ffffff
platinum_dust, #ffffff
platinum_gear, #f8ffff
platinum_ingot, #b5becd
platinum_nugget, #ffffff
platinum_plate, #ffffff
platinum_raw_ore, #abb2bf
platinum_rod, #eefbff
platinum_shard, #e0e6f0
platinum_wire, #ffffff
plutonium_blade, #ffffff
plutonium_clump, #ffffff
plutonium_crystal, #ffffff
plutonium_dirty_dust, #ffffff
plutonium_dust, #ffffff
plutonium_gear, #ffffff
plutonium_gem, #deffe6
plutonium_ingot, #c3e8c8
plutonium_nugget, #ffffff
plutonium_plate, #ffffff
plutonium_raw_ore, #bbdebf
plutonium_rod, #f8fffc
plutonium_shard, #ebfff0
plutonium_wire, #ffffff
quartz_chunk, #ffffff
quartz_clump, #ffffff
quartz_cluster, #ffffff
quartz_dirty_dust, #ffffff
quartz_dust, #ffffff
quartz_gear, #ffffff
quartz_nugget, #ffffff
quartz_plate, #ffffff
quartz_rod, #ffffff
quartz_shard, #ffffff
quartz_wire, #ffffff
redstone_chunk, #ffe1d9
redstone_cluster, #ffa79b
redstone_wire, #fff8f0
refined_glowstone_dust, #ffffff
refined_glowstone_gear, #fffff1
refined_glowstone_ingot, #ffffbf
refined_glowstone_nugget, #ffffff
refined_glowstone_plate, #ffffff
refined_glowstone_rod, #ffffff
refined_glowstone_wire, #ffffff
resonating_ore_gem, #ffbbbb
resonating_ore_wire, #ffc9c9
signalum_wire, #ffffed
silicon_blade, #f4ffff
silicon_clump, #bbcac9
silicon_crystal, #becdcc
silicon_dirty_dust, #feffff
silicon_dust, #e6f2f1
silicon_gear, #94a4a2
silicon_gem, #70807f
silicon_ingot, #a1abab
silicon_nugget, #ffffff
silicon_plate, #c0d0cf
silicon_raw_ore, #768483
silicon_rod, #5c7370
silicon_shard, #acb4b2
silicon_wire, #98acab
silver_chunk, #ffffff
silver_clump, #ffffff
silver_cluster, #ffffff
silver_crystal, #ffffff
silver_dirty_dust, #ffffff
silver_dust, #ffffff
silver_gear, #ffffff
silver_gem, #bce4ff
silver_ingot, #faffff
silver_nugget, #ffffff
silver_plate, #ffffff
silver_raw_ore, #ffffff
silver_rod, #ffffff
silver_shard, #ffffff
silver_wire, #ffffff
stainless_steel_blade, #ffffff
stainless_steel_dust, #ffffff
stainless_steel_gear, #ffffff
stainless_steel_plate, #ffffff
stainless_steel_rod, #ffffff
stainless_steel_wire, #ffffff
steel_dust, #fbffff
steel_gear, #aebcc8
steel_ingot, #b2bcc5
steel_nugget, #ffffff
steel_plate, #dce8f4
steel_rod, #7f97a7
steel_wire, #bcccd7
sulfur_clump, #ffffd9
sulfur_crystal, #ffffee
sulfur_dirty_dust, #ffffff
sulfur_shard, #eee7ae
sulfur_wire, #ffffc9
tin_blade, #ffffff
tin_chunk, #ffffff
tin_clump, #ffffff
tin_cluster, #ffffff
tin_crystal, #ffffff
tin_dirty_dust, #ffffff
tin_dust, #ffffff
tin_gear, #ffffff
tin_ingot, #ffffff
tin_nugget, #ffffff
tin_plate, #ffffff
tin_raw_ore, #ffffff
tin_rod, #ffffff
tin_shard, #ffffff
tin_wire, #ffffff
titanium_blade, #ffffff
titanium_clump, #ffffff
titanium_crystal, #ffffff
titanium_dirty_dust, #ffffff
titanium_dust, #ffffff
titanium_gear, #fbe1ff
titanium_ingot, #f2daff
titanium_nugget, #ffffff
titanium_plate, #fff4ff
titanium_raw_ore, #fff5ff
titanium_rod, #ffebff
titanium_shard, #fff4ff
titanium_wire, #ffffff
tungsten_clump, #cfc2e8
tungsten_crystal, #c9bce1
tungsten_dirty_dust, #ffffff
tungsten_dust, #f7ebff
tungsten_ingot, #9189a2
tungsten_nugget, #ffffff
tungsten_plate, #d6c8f0
tungsten_raw_ore, #9187a2
tungsten_rod, #866faf
tungsten_shard, #b8b1c3
tungsten_wire, #b8a7d7
uranium_chunk, #ffffff
uranium_clump, #ffffff
uranium_cluster, #ffffff
uranium_crystal, #f7ffff
uranium_dirty_dust, #ffffff
uranium_dust, #ffffff
uranium_gear, #deffeb
uranium_ingot, #b1e3b9
uranium_nugget, #ffffff
uranium_plate, #ffffff
uranium_raw_ore, #acedb9
uranium_rod, #f4fffe
uranium_shard, #cdf7d4
uranium_wire, #ffffff
zinc_clump, #ffffff
zinc_crystal, #ffffff
zinc_dirty_dust, #ffffff
zinc_dust, #ffffff
zinc_gear, #f5fcee
zinc_ingot, #c3c8be
zinc_nugget, #ffffff
zinc_plate, #ffffff
zinc_raw_ore, #c5cabe
zinc_rod, #fbfff5
zinc_shard, #dce0d7
zinc_wire, #ffffff
